Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
2025,"Garrett Mitchell","MIL","CPX",26,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"27555"
2025,"Garrett Mitchell","MIL","AAA",26,3,9,11,5,5,0,0,0,5,1,2,0,1,0,0,0,0,0,0,0.555555555,"27555"
2025,"Jackson Chourio","MIL","AAA",21,5,19,21,1,0,1,0,0,1,0,2,0,8,0,0,0,1,0,0,0.052631578,"28806"
2025,"Caleb Durbin","MIL","AAA",25,13,54,58,15,8,5,0,2,12,3,3,0,5,0,0,1,0,3,2,0.277777777,"29646"
2025,"Tyler Black","MIL","CPX",24,10,31,39,12,8,2,1,1,7,5,8,0,3,0,0,0,0,0,1,0.387096774,"29949"
2025,"Tyler Black","MIL","AAA",24,57,205,247,47,33,9,2,3,29,30,40,0,67,1,1,0,4,20,2,0.229268292,"29949"
2025,"Nick Kahle","MIL","AAA",27,24,63,72,13,8,4,0,1,7,9,5,0,20,1,1,2,2,0,0,0.206349206,"sa1115979"
2025,"Ernesto Martinez Jr.","MIL","AAA",26,80,263,311,67,46,13,2,6,40,40,39,1,81,5,4,0,8,1,3,0.254752851,"sa3003173"
2025,"David Garcia","MIL","A+",25,7,19,22,2,2,0,0,0,3,0,2,0,9,1,0,0,0,0,0,0.105263157,"sa3003197"
2025,"Adam Hall","MIL","AAA",26,43,144,160,32,24,4,3,1,14,11,8,0,56,8,0,0,1,12,0,0.222222222,"sa3005077"
2025,"Adam Hall","MIL","AA",26,32,102,123,25,20,5,0,0,15,10,13,0,30,4,1,0,2,13,1,0.245098039,"sa3005077"
2025,"Bladimir Restituyo","MIL","AA",23,101,324,351,64,47,10,2,5,36,19,10,0,74,4,5,8,2,18,8,0.197530864,"sa3006621"
2025,"Raynel Delgado","MIL","AAA",25,124,408,469,116,89,19,3,5,58,53,48,1,93,7,3,3,7,40,8,0.284313725,"sa3007288"
2025,"Jimmy Herron","MIL","AAA",28,76,227,260,49,41,5,1,2,31,22,23,0,57,5,4,1,6,17,0,0.21585903,"sa3008183"
2025,"Eduardo Garcia","MIL","A+",22,96,361,411,91,53,23,2,13,61,47,41,0,107,8,1,0,2,36,4,0.252077562,"sa3008751"
2025,"Eduardo Garcia","MIL","AA",22,33,113,128,24,18,6,0,0,12,9,14,0,38,0,1,0,0,5,3,0.21238938,"sa3008751"
2025,"Victor Torres","MIL","A+",24,5,13,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"sa3010597"
2025,"Victor Torres","MIL","AA",24,4,10,13,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,"sa3010597"
2025,"Andrick Nava","MIL","A+",23,19,64,71,14,11,3,0,0,5,8,7,0,13,0,0,0,5,2,0,0.21875,"sa3010693"
2025,"Darrien Miller","MIL","AA",24,81,240,316,46,28,10,1,7,40,37,57,0,77,17,1,1,3,4,0,0.191666666,"sa3011330"
2025,"Freddy Zamora","MIL","AAA",26,100,322,377,81,59,18,0,4,48,46,48,0,67,2,3,2,6,12,7,0.251552795,"sa3014500"
2025,"Zavier Warren","MIL","AA",26,117,412,478,94,63,14,6,11,48,67,53,0,113,3,9,0,8,11,2,0.228155339,"sa3014549"
2025,"Hedbert Perez","MIL","A+",22,84,292,345,61,33,11,3,14,39,43,51,3,90,2,0,0,4,7,3,0.208904109,"sa3014692"
